Category,Level,Iteration,Configuration,Good Proposals,Bad Proposals,Max Attempts
1_ball,00007,02,lower_density,5,5,146
1_ball,00007,02,higher_gravity,5,5,266
1_ball,00007,02,higher_density,5,5,81
1_ball,00007,02,higher_time_scale,5,5,140
1_ball,00007,02,higher_elasticity,5,5,53
1_ball,00007,02,lower_space_iterations,5,5,85
1_ball,00007,02,lower_time_scale,5,5,108
1_ball,00007,02,lower_friction,5,5,99
1_ball,00007,02,higher_friction,5,5,90
1_ball,00007,02,lower_gravity,5,5,117
1_ball,00007,02,higher_space_iterations,5,5,65
1_ball,00007,02,lower_elasticity,0,5,4
1_ball,00007,02,default,5,5,80
1_ball,00007,03,lower_density,5,5,32
1_ball,00007,03,higher_gravity,5,5,15
1_ball,00007,03,higher_density,5,5,9
1_ball,00007,03,higher_time_scale,5,5,46
1_ball,00007,03,higher_elasticity,5,5,34
1_ball,00007,03,lower_space_iterations,5,5,21
1_ball,00007,03,lower_time_scale,5,5,27
1_ball,00007,03,lower_friction,5,5,36
1_ball,00007,03,higher_friction,5,5,42
1_ball,00007,03,lower_gravity,5,5,44
1_ball,00007,03,higher_space_iterations,5,5,24
1_ball,00007,03,lower_elasticity,0,5,4
1_ball,00007,03,default,5,5,25
1_ball,00007,04,lower_density,5,5,3792
1_ball,00007,04,higher_gravity,5,5,3430
1_ball,00007,04,higher_density,5,5,3323
1_ball,00007,04,higher_time_scale,3,5,9187
1_ball,00007,04,higher_elasticity,5,5,10
1_ball,00007,04,lower_space_iterations,5,5,4046
1_ball,00007,04,lower_time_scale,5,5,2619
1_ball,00007,04,lower_friction,5,5,142
1_ball,00007,04,higher_friction,5,5,2341
1_ball,00007,04,lower_gravity,5,5,2072
1_ball,00007,04,higher_space_iterations,5,5,4148
1_ball,00007,04,default,5,5,2430
1_ball,00008,00,lower_density,5,5,17
1_ball,00008,00,higher_gravity,5,5,19
1_ball,00008,00,higher_density,5,5,13
1_ball,00008,00,higher_time_scale,5,5,37
1_ball,00008,00,higher_elasticity,5,5,110
1_ball,00008,00,lower_space_iterations,5,5,25
1_ball,00008,00,lower_time_scale,5,5,31
1_ball,00008,00,lower_friction,5,5,18
1_ball,00008,00,higher_friction,5,5,9
1_ball,00008,00,lower_gravity,5,5,27
1_ball,00008,00,higher_space_iterations,5,5,33
1_ball,00008,00,lower_elasticity,5,5,48
1_ball,00008,00,default,5,5,20
1_ball,00008,01,lower_density,5,5,130
1_ball,00008,01,higher_gravity,5,5,175
1_ball,00008,01,higher_density,5,5,121
1_ball,00008,01,higher_time_scale,5,5,47
1_ball,00008,01,higher_elasticity,5,5,64
1_ball,00008,01,lower_space_iterations,5,5,132
1_ball,00008,01,lower_time_scale,5,5,320
1_ball,00008,01,lower_friction,5,5,127
1_ball,00008,01,higher_friction,5,5,194
1_ball,00008,01,lower_gravity,5,5,295
1_ball,00008,01,higher_space_iterations,5,5,252
1_ball,00008,01,lower_elasticity,5,5,208
1_ball,00008,01,default,5,5,307
1_ball,00008,02,lower_density,3,5,9015
1_ball,00008,02,higher_gravity,4,5,9446
1_ball,00008,02,higher_density,3,5,9220
